;dc_title;page;content
17;MLE_Week_1.pdf;17;"Why Bayes Classifier?

The Bayes classifier C^(Bayes)(x) *minimizes* the probability of making classification mistakes:

         minimize(_g) 𝒫(g(X) ≠ Y) = minimize(_g) 𝐸[ℓ_(0-1)(g(X), Y)]

over the class of classifier g : ℝ^d → {-1, +1}, where

                     ℓ_(0-1)(ŷ, y) = 1[ŷ ≠ y]

is called the zero-one loss function.

@UvA                                                  15"
18;MLE_Week_1.pdf;18;"Remark: Linear Rule Is Not Enough

Recall that the soft-margin SVM is directly estimating the Bayes classifier C^(Bayes)(x) ∈ {−1, 1}, which is nonlinear. However, the standard soft-margin SVM uses only linear prediction rules

f(x) = β^(T)x + β_0.

That's why we need to use the kernel tricks (not to be discussed) to generate a richer space

𝓕 = { f : f(x) = Σ_(i=1) ^(n) α_i K(x, x_i) },

where K ∈ 𝓚 is a kernel function so we can approximate C^(Bayes)(x) with || C^(Bayes)(x) - f*(x) ||_(K) < ϵ for a (arbitrarily) small ϵ > 0 for some f* ∈ 𝓕.

@UvA 16"
19;MLE_Week_1.pdf;19;"```
Regularization: Variance Reduction

Recall that we only optimize the empirical risk over a smaller
subset in SVM given by

              𝒢 = {𝑓(𝑥) = βᵀ𝑥 + β₀ ∈ 𝓕 : ‖β‖² ≤ b}

and our estimator is given by

                        𝑓̂ = argmin 𝑳ₛ(𝑓).
                            𝑓∈𝒢

The motivation is to reduce variance of 𝑓̂ due to the randomness
of 𝑌ᵢ, 𝑋ᵢ, which increases in general with the worst estimation error
of the risk function:

             sup |𝑳ₛ(𝑓) − 𝑳ᴰ(𝑓)|  ↑  as  𝒢  ↑ .
             𝑓∈𝒢

@UvA                                                      17
```"
20;MLE_Week_1.pdf;20;"Regularization: Bias Variance Tradeoff

However, shrinking the space 𝓗 restricts our choices of candidate prediction rules. The best population risk we can reach is only

          inf          L_D(f)
          f∈𝓗

so the bias

          inf           L_D(f)  —  inf          L_D(f)  ↑  as 𝓗 ↓.
          f∈𝓗                            f∈ℱ

In practice, we need to trade-off bias and variance by tuning the hyperparameter λ (and hence b) properly.

@UvA                                                                                                              18"
21;MLE_Week_1.pdf;21;Beyond SVM: Statistical Learning Framework
22;MLE_Week_1.pdf;22;"Statistical Learning Problems

Target variable \( Y \in \mathcal{Y} \), \( d \) features \( X \in \mathcal{X} \subseteq \mathbb{R}^d \)

Before observing \( Y \):

We make a prediction \( f(X) \) with some prediction rule \( f : \mathcal{X} \to \mathcal{Y} \)

After observing \( Y \): We quantify the predictive loss by
\[ \ell(f(X), Y) \]

where \( \ell : \mathcal{Y} \times \mathcal{Y} \to [0, \infty) \) is some loss function specified by the user. A larger loss implies a worse prediction performance, and the loss remains non-negative such that
\[ \ell(f(X), Y) \ge \ell(Y, Y) = 0. \]

Our goal is to find the ideal prediction rule that minimizes the population risk function given by
\[ L_{\mathcal{D}}(f) = \mathbb{E}[\ell(f(X), Y)], \quad f \in \mathcal{F}. \]

@UvA
19"
23;MLE_Week_1.pdf;23;"Ideal Prediction Rule

● The regression function

        μ(x) = E[Y | X = x]

    is ideal for the (half) squared loss function

        ℓ(ŷ, y) = (1/2) ‖ŷ - y‖^2

● The Bayes classifier

        C^(Bayes)(x) = argmax_(Ck,1≤k≤K) P(Y = Ck | X = x)

    is ideal for the zero-one loss ℓ_0-1 among classifiers and hinge loss ℓ_H among all real-valued functions as discussed before.

©UvA 20"
24;MLE_Week_1.pdf;24;"Empirical Risk Minimization

Given a random sample

\[ S = \{Y_i, X_i : i = 1, \ldots, n\}, \]

the empirical risk function is equal to the average loss given by

\[ L_S(f) = \frac{1}{n} \sum_{i=1}^{n} \ell(f(X_i), Y_i), \quad f \in \mathcal{F}. \]

The empirical risk minimization (ERM) paradigm solves the optimization problem:

\[
\begin{aligned}
& \text{minimize} \quad L_S(f) \\
& \text{subject to} \quad f \in \mathcal{H}
\end{aligned}
\quad \Rightarrow \quad \text{Regularization}
\]

How to choose \( \mathcal{H} \subset \mathcal{F} \)?

©UvA 21"
25;MLE_Week_1.pdf;25;"Penalized Method
     
  * Parametrize \( f = f(X; \theta) \in \mathcal{H} \) with parameters \( \theta \in \Theta \)
  * Measure model complexity with some criterion function \( C(\theta) \)
  * Choose \( \mathcal{H} \) with a limited complexity such that
  
 \[
 \mathcal{H} = \{ f( \cdot ; \theta) \in \mathcal{F} : C(\theta) \leq b , \theta \in \Theta \}
 \]
      
 This is equivalent to minimize the penalized empirical risk function
 
 \[
 \text{minimize } L_S (f) + \lambda \cdot C(\theta)
 \]
 
 where \( \lambda = \lambda(b) \) is a tuning parameter.

  

@UvA    22"
26;MLE_Week_1.pdf;26;"Unifying Classification and Regression
------------------------------------"
27;MLE_Week_1.pdf;27;"One-Hot Encoding

● Classification algorithms generate discrete outputs but regression algorithms generate continuous outputs.

● There is a strong connection between these two tasks:

   C^Bayes(x) 
     classification 
     = argmax_(C_k, 1<=k<=K) P(Y = C_k | X = x) 
     = argmax_(C_k, 1<=k<=K) E[1[Y = C_k] | X = x] 
     regression 

● (Y^(1), ..., Y^(K)) is the one-hot encoding of Y with Y^(k) = 1[Y = C_k].

● We can estimate the multivariate regression function 
  μ(x) = (μ_1(x), ..., μ_K(x)),  μ_k(x) = E[Y^(k) | X = x] 

  using regression algorithms, and then construct the Bayes classifier.

@UvA 23"
28;MLE_Week_1.pdf;28;"Softmax Function

• However, the regression function for one-hot encoded target
  must satisfy the axioms of probability:
  
  \[
  \mu(x) \in \mathcal{P}_k = \left\{ y \in (0, 1)^K : \sum_{k=1}^{K} y_k = 1 \right\}, \quad \forall x \in \mathcal{X}.
  \]

• Re-parametrize the candidate regression function
  \(f(x) = (f_1(x), \ldots, f_K(x)) \in \mathcal{P}_k\) jointly by

  \[
  f(x) = \begin{pmatrix} f_1(x) \\ \vdots \\ f_K(x) \end{pmatrix} = \sigma \left( \begin{pmatrix} a_1(x) \\ \vdots \\ a_K(x) \end{pmatrix} \right) = \sigma(a(x))
  \]

  \[
  \sigma(a) = \begin{pmatrix} \sigma(a)_1 \\ \vdots \\ \sigma(a)_K \end{pmatrix}, \quad \sigma(a)_k = \frac{\exp(a_k)}{\sum_{j=1}^{K} \exp(a_j)}.
  \]

• Note that \(a(x) \in \mathbb{R}^K\) but set \(a_K(x) \equiv 0\) for identification.

©UvA                                             24"
29;MLE_Week_1.pdf;29;"Cross Entropy

- Note that ( Y^(1), ..., Y^(K) ) ∈ P_K is a distribution
- Candidate regression function ( f_1(x), ..., f_K(x) ) ∈ P_K is another distribution
- The cross-entropy loss function ℓ_CE : P_K × P_K → [0, ∞) given by

  ℓ_CE(f(x), y) = Σ_(k=1)^K -y_k · log f_k(x)

  measures the ‘distance’ between these two distributions
- Relax the definition to allow for y_k ∈ {0, 1} in algorithms
- We can show that the true regression function μ(x) for the one-hot encoded target is the ideal prediction rule.
- It is more specialized than the Euclidean distance induced by the squared loss

  ℓ_2(f(x), y) = 1/2 || f(x) - y ||^2.


@UvA 25"
30;MLE_Week_1.pdf;30;"Unified View of Regression and Classification


  • After one-hot encoding, a classification task translates into a 
    regression task.

  • One may use soft-max transformation to enforce the axioms 
    of probability, and the cross-entropy loss instead of the 
    squared loss to estimate the multivariate regression function.

  • Therefore, other ML methods in this course are primarily for 
    regression tasks but apply to classification tasks.

  • The main differences are their choices of candidate prediction 
    rules, loss function, and regularization procedures.



@UvA									26"
